Dist1,Dist2
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
4.761904762,4.761904762
